cid,catname,Aisle,description
1,Dairy,1,"milk,butter, cheese, yogurt"
2,Deli,2,"Ham,turkey"
3,Bread/Bakery,2,NULL
4,Canned/Jarred Goods,4,NULL
5,Beverage,5,NULL
6,Marinade,4,NULL
7,Rice,6,NULL
8,Nuts,6,NULL
9,Bandage,8,NULL
11,Ethnic Food,9,NULL
12,Lighter fluid,9,NULL
13,Cough syrup,10,NULL
14,Spices,11,NULL
15,Condiments,11,NULL
16,Pet items,10,NULL
17,Produce,12,NULL
18,Dry/Baking Goods,6,NULL
19,Vinegar,6,NULL
20,Candy,6,NULL
21,Frozen food,13,NULL
23,Syrup,5,NULL
24,Glue,14,NULL
25,Sauce,4,NULL
26,Cleaning items,14,NULL
27,baby items,8,NULL
28,Beef Jerky,6,NULL
29,Dressing,4,NULL
30,Breakfast,15,NULL
31,Creamer,15,NULL
32,Paper goods,14,NULL
34,Protein Bars,10,NULL
36,Medication,10,NULL
37,Snack/chips,17,NULL
38,Granola bars,17,NULL
39,Light Bulbs,9,NULL
43,Makeup,8,NULL
44,Personal Hygiene ,8,NULL
46,Vitamins ,16,NULL
49,Office supplies,9,NULL
50,Pudding,17,NULL
51,Balloons,10,NULL
53,Soup,4,NULL
54,Air Freshener,9,NULL
55,Baking goods,6,NULL
56,Glue,9,NULL
57,Pasta,4,NULL
58,Instant food,4,NULL
59,Meat,1,NULL
